interfaceFqn	status	reason	path
org.apache.hadoop.yarn.server.federation.store.records.SubClusterHeartbeatRequestJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/store/records/SubClusterHeartbeatRequestJVMInterface.java
org.apache.hadoop.yarn.server.api.protocolrecords.NodeHeartbeatRequestJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/api/protocolrecords/NodeHeartbeatRequestJVMInterface.java
org.apache.hadoop.yarn.api.protocolrecords.GetContainersRequestJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetContainersRequestJVMInterface.java
org.apache.hadoop.yarn.api.protocolrecords.CancelDelegationTokenResponseJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/CancelDelegationTokenResponseJVMInterface.java
org.apache.hadoop.security.token.TokenJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/token/TokenJVMInterface.java
org.apache.hadoop.fs.CanSetDropBehindJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/CanSetDropBehindJVMInterface.java
org.apache.hadoop.conf.ConfigurableJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/ConfigurableJVMInterface.java
org.apache.hadoop.yarn.server.nodemanager.ContainerExecutorJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/ContainerExecutorJVMInterface.java
org.apache.hadoop.yarn.server.federation.store.records.GetSubClusterInfoResponseJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/store/records/GetSubClusterInfoResponseJVMInterface.java
org.apache.hadoop.yarn.api.records.ExecutionTypeRequestJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ExecutionTypeRequestJVMInterface.java
